City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,esperance,-33.8667,121.9,289.57,86,6,6.61,AU,1679252283
1,atuona,-9.8,-139.0333,299.92,76,12,6.83,PF,1679252284
2,dahuk,36.8695,42.994,282.84,84,1,1.84,IQ,1679252285
3,saskylakh,71.9167,114.0833,244.43,98,100,3.03,RU,1679252286
4,geraldton,-28.7667,114.6,292.38,88,0,3.6,AU,1679252286
5,moindou,-21.6924,165.677,296.9,80,0,2.73,NC,1679252287
6,ushuaia,-54.8,-68.3,277.96,75,75,12.35,AR,1679252288
7,capao bonito,-24.0058,-48.3494,300.7,54,33,1.12,BR,1679252288
8,liverpool,53.4106,-2.9779,282.93,76,40,3.13,GB,1679252195
9,butaritari,3.0707,172.7902,300.07,75,71,3.79,KI,1679252289
10,teseney,15.11,36.6575,303.28,14,22,3.95,ER,1679252290
11,rikitea,-23.1203,-134.9692,299.21,72,10,6.1,PF,1679252291
12,victoria,22.2855,114.1577,295.06,91,89,5.36,HK,1679252048
13,rio gallegos,-51.6226,-69.2181,284.18,35,75,18.01,AR,1679252292
14,busselton,-33.65,115.3333,291.74,59,80,6.1,AU,1679252293
15,urusha,54.05,122.9,268.41,100,100,0.33,RU,1679252293
16,hambantota,6.1241,81.1185,298.34,100,40,2.06,LK,1679252294
17,mangan,27.5167,88.5333,288.28,93,100,0.74,IN,1679252295
18,hermanus,-34.4187,19.2345,289.71,76,0,1.48,ZA,1679252295
19,sobolevo,54.4299,31.8996,270.74,91,100,1.98,RU,1679252296
20,jamestown,42.097,-79.2353,271.77,60,100,9.77,US,1679252102
21,gat,31.61,34.7642,285.59,100,39,7.35,IL,1679252297
22,dire dawa,9.5931,41.8661,294.1,76,30,1.11,ET,1679252298
23,sidrolandia,-20.9319,-54.9614,297.94,81,96,2.33,BR,1679252299
24,radishchevo,52.85,47.8833,273.93,97,100,2.37,RU,1679252300
25,kaitangata,-46.2817,169.8464,286.12,89,100,2.55,NZ,1679252261
26,katherine,-14.4667,132.2667,296.33,94,9,0.51,AU,1679252301
27,puerto carreno,6.189,-67.4859,307.14,38,0,5.14,CO,1679252302
28,chipinge,-20.1883,32.6236,290.74,91,98,2.5,ZW,1679252303
29,half moon bay,37.4636,-122.4286,287.82,89,100,6.17,US,1679252287
30,bluff,-46.6,168.3333,289.71,78,100,5.39,NZ,1679252304
31,novobirilyussy,56.9514,90.6661,256.78,89,100,5.17,RU,1679252306
32,albany,42.6001,-73.9662,273.68,49,100,3.13,US,1679252017
